"LPprob","n","m","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"sctap1",660,300,TRUE,0.82,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
"sctap2",2500,1090,TRUE,0.884403669724771,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
"sctap3",3340,1480,TRUE,0.915540540540541,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
"share1b",253,117,TRUE,0.461538461538462,0.0128755364806867,0.510729613733906,0.510729613733906,0.510729613733906,0.510729613733906,0.510729613733906,0.510729613733906,0.510729613733906,0.510729613733906,0.510729613733906,1
"share2b",162,96,TRUE,0.604166666666667,0.0211640211640212,0.529100529100529,0.529100529100529,0.529100529100529,0.529100529100529,0.529100529100529,0.529100529100529,0.529100529100529,0.529100529100529,0.529100529100529,1
"shell",1777,536,TRUE,0.996268656716418,1,1,1,1,1,1,1,1,1,1,1
"ship04l",2166,402,TRUE,0.960199004975124,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.996268656716418
"ship04s",1506,402,TRUE,0.962686567164179,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.497512437810945,0.996268656716418
"ship08l",4363,778,TRUE,0.976863753213368,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.998071979434447
"ship08s",2467,778,TRUE,0.976863753213368,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.498714652956298,0.998071979434447
"ship12l",5533,1151,TRUE,0.984361424847958,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662
"ship12s",2869,1151,TRUE,0.98262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662,0.498262380538662
"sierra",2735,1227,TRUE,0.50040749796251,1,1,1,1,1,1,1,1,1,1,1
"stair",614,356,TRUE,0.865168539325843,0.00421348314606742,0.47752808988764,0.47752808988764,0.47752808988764,0.47752808988764,0.47752808988764,0.47752808988764,0.47752808988764,0.47752808988764,0.47752808988764,1
"standata",1274,359,TRUE,0.98050139275766,0.501392757660167,0.501392757660167,0.501392757660167,0.501392757660167,0.501392757660167,0.501392757660167,0.501392757660167,0.501392757660167,0.501392757660167,0.501392757660167,1
"standgub",1383,361,TRUE,0.980609418282548,0.501385041551247,0.501385041551247,0.501385041551247,0.501385041551247,0.501385041551247,0.501385041551247,0.501385041551247,0.501385041551247,0.501385041551247,0.501385041551247,1
"standmps",1274,467,TRUE,0.91220556745182,0.501070663811563,0.501070663811563,0.501070663811563,0.501070663811563,0.501070663811563,0.501070663811563,0.501070663811563,0.501070663811563,0.501070663811563,0.501070663811563,1
"stocfor1",165,117,TRUE,0.675213675213675,0.00854700854700855,0.504273504273504,0.504273504273504,0.504273504273504,0.504273504273504,0.504273504273504,0.504273504273504,0.504273504273504,0.504273504273504,0.504273504273504,1
"stocfor2",3045,2157,TRUE,0.68567454798331,0.000463606861381548,0.500231803430691,0.500231803430691,0.500231803430691,0.500231803430691,0.500231803430691,0.500231803430691,0.500231803430691,0.500231803430691,0.500231803430691,1
"tuff",628,333,TRUE,1,0.463963963963964,0.463963963963964,0.463963963963964,0.463963963963964,0.463963963963964,0.463963963963964,0.463963963963964,0.463963963963964,0.463963963963964,0.463963963963964,1
"vtp_base",346,198,TRUE,0.52020202020202,0.01,1,1,1,1,1,1,1,1,1,1
"wood1p",2595,244,TRUE,0.979508196721312,0.493852459016393,0.493852459016393,0.493852459016393,0.493852459016393,0.493852459016393,0.493852459016393,0.493852459016393,0.493852459016393,0.493852459016393,0.493852459016393,1
"woodw",8418,1098,TRUE,0.990892531876138,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
