"LPprob","n","m","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"kb2",68,43,FALSE,1,0.0232558139534884,0.123255813953488,0.241860465116279,0.290697674418605,0.406976744186047,0.511627906976744,0.602325581395349,0.706976744186047,0.804651162790698,0.909302325581396,1
"ken_07",3602,2426,FALSE,0.424154987633965,0.373866446826051,0.373866446826051,0.373866446826051,0.373866446826051,0.616240725474031,0.717230008244023,0.797815333882935,0.838211046990932,0.878400659521847,0.938994229183842,1
"lotfi",366,153,TRUE,0.607843137254902,0.0065359477124183,0.0849673202614379,0.143790849673203,0.300653594771242,0.464052287581699,0.522875816993464,0.666666666666667,0.750326797385621,0.831372549019608,0.925490196078431,0.993464052287582
"maros_r7",9408,3136,TRUE,0.864477040816326,0.000318877551020408,0.0814732142857143,0.178890306122449,0.591517857142857,0.591517857142857,0.591517857142857,0.591517857142857,0.591517857142857,0.591517857142857,0.591517857142857,1
"maros",1966,846,FALSE,0.950354609929078,0.00118203309692671,0.112293144208038,0.210992907801418,0.31903073286052,0.41371158392435,0.518321513002364,0.617966903073286,0.715248226950355,0.810874704491726,0.905082742316785,1
"modszk1",1620,687,TRUE,0.754002911208151,0.00145560407569141,0.144832605531295,0.275836972343523,0.365356622998544,0.446142649199418,0.518195050946143,0.620815138282387,0.680494905385735,0.753275109170306,0.864556040756914,0.998544395924309
"osa_07",25067,1118,TRUE,0.325581395348837,0.207960644007156,0.207960644007156,0.207960644007156,0.207960644007156,0.207960644007156,0.453935599284436,0.62432915921288,0.790250447227191,0.790250447227191,0.790250447227191,0.995527728085868
"osa_14",54797,2337,TRUE,0.339751818570817,0.210098416773641,0.210098416773641,0.210098416773641,0.210098416773641,0.421694480102696,0.517543859649123,0.637569533590073,0.814933675652546,0.814933675652546,0.814933675652546,0.998716302952503
"pds_02",7716,2953,TRUE,0.962411107348459,0.0247625508819539,0.116180461329715,0.207598371777476,0.313941655359566,0.371777476255088,0.519165535956581,0.519165535956581,0.664687924016282,0.799185888738128,0.883310719131615,1
"perold",1506,625,TRUE,0.7296,0.0016,0.0888,0.1912,0.2776,0.3496,0.428,0.5184,0.5984,0.688,0.7832,0.9968
"pilot",4860,1441,TRUE,0.879944482997918,0.000693962526023595,0.122484385843164,0.215544760582929,0.30617626648161,0.413948646773074,0.509021512838307,0.60735600277585,0.700832755031228,0.803331020124913,0.904580152671756,1
"pilot4",1123,410,TRUE,0.682926829268293,0.0024390243902439,0.0865853658536585,0.171707317073171,0.245121951219512,0.317073170731707,0.392682926829268,0.458780487804878,0.567073170731707,0.625609756097561,0.716219512195122,0.978048780487805
"pilotnov",2446,975,TRUE,0.718974358974359,0.00102564102564103,0.0769230769230769,0.188205128205128,0.265128205128205,0.34974358974359,0.426666666666667,0.498461538461538,0.596923076923077,0.705641025641026,0.801025641025641,0.994871794871795
"qap12",8856,3192,TRUE,0.897556390977444,0.000471475719000471,0.502121640735502,0.502121640735502,0.502121640735502,0.502121640735502,0.502121640735502,0.502121640735502,0.502121640735502,0.502121640735502,0.502121640735502,1
"recipe",204,91,FALSE,1,0.0111111111111111,0.0833333333333333,0.2,0.377777777777778,0.377777777777778,0.561111111111111,0.561111111111112,0.7,0.8,0.905555555555556,1
"sc105",163,105,TRUE,0.933333333333333,0.00956937799043062,0.100478468899522,0.177033492822967,0.373205741626794,0.373205741626794,0.373205741626794,0.650717703349282,0.650717703349282,0.650717703349282,0.913875598086124,1
"sc205",317,205,TRUE,0.965853658536585,0.00488997555012225,0.078239608801956,0.245476772616138,0.371638141809291,0.371638141809291,0.371638141809291,0.667481662591687,0.667481662591687,0.667481662591687,0.9119804400978,1
"sc50a",78,50,TRUE,0.94,0.0202020202020202,0.101010101010101,0.206060606060606,0.383838383838384,0.383838383838384,0.383838383838384,0.616161616161616,0.616161616161616,0.75959595959596,0.919191919191919,1
"sc50b",78,50,TRUE,1,0.02,0.12,0.224,0.5,0.5,0.5,0.5,0.581000000000001,0.77,0.91,1
"scagr25",671,471,TRUE,0.70276008492569,0.00424628450106157,0.162420382165605,0.340764331210191,0.340764331210191,0.453290870488323,0.548832271762208,0.684713375796178,0.75583864118896,0.807855626326964,0.915074309978769,1
"scagr7",185,129,TRUE,0.75968992248062,0.0155038759689922,0.146511627906977,0.337209302325581,0.337209302325581,0.468992248062016,0.594961240310077,0.686046511627907,0.784108527131783,0.851162790697675,0.920542635658915,1
"scfxm1",600,330,TRUE,0.809090909090909,0.00757575757575758,0.104545454545455,0.224242424242424,0.345454545454545,0.443939393939394,0.527272727272727,0.622424242424243,0.716666666666667,0.817575757575758,0.901212121212121,1
"scfxm2",1200,660,TRUE,0.795454545454545,0.00681818181818182,0.103787878787879,0.224242424242424,0.337424242424243,0.432575757575758,0.518181818181818,0.608333333333333,0.696212121212121,0.805909090909091,0.897727272727273,1
"scfxm3",1800,990,TRUE,0.795959595959596,0.00656565656565657,0.103535353535354,0.224242424242424,0.336262626262626,0.435353535353535,0.518181818181818,0.611111111111111,0.699343434343434,0.80989898989899,0.901515151515151,1
"scorpion",466,388,TRUE,0.963917525773196,0.0167525773195876,0.10180412371134,0.208762886597938,0.323453608247423,0.413659793814433,0.509020618556701,0.632731958762887,0.725515463917526,0.795103092783505,0.89819587628866,1
"scrs8",1275,490,TRUE,0.959183673469388,0.00206611570247934,0.0989669421487603,0.336776859504132,0.336776859504132,0.336776859504132,0.336776859504132,0.599173553719008,0.703512396694215,0.797520661157025,0.90599173553719,1
"scsd1",760,77,TRUE,1,0.012987012987013,0.116883116883117,0.14935064935065,0.279220779220779,0.467532467532468,0.467532467532468,0.642857142857143,0.642857142857143,0.798701298701299,0.896103896103896,1
"scsd6",1350,147,TRUE,1,0.00680272108843537,0.156462585034014,0.156462585034014,0.379591836734695,0.435374149659864,0.435374149659864,0.792517006802721,0.792517006802721,0.792517006802721,0.792517006802721,1
"scsd8",2750,397,TRUE,1,0.00251889168765743,0.280856423173804,0.280856423173804,0.280856423173804,0.280856423173804,0.280856423173804,0.759445843828715,0.759445843828715,0.759445843828715,0.759445843828715,1
"sctap1",660,300,TRUE,0.82,0.148333333333333,0.148333333333333,0.148333333333333,0.148333333333333,0.328333333333333,0.42,0.585,0.585,0.828333333333333,0.923333333333333,1
"sctap2",2500,1090,TRUE,0.884403669724771,0.180733944954128,0.180733944954128,0.180733944954128,0.180733944954128,0.180733944954128,0.451834862385321,0.637614678899083,0.637614678899083,0.637614678899083,0.90848623853211,1
"sctap3",3340,1480,TRUE,0.915540540540541,0.178716216216216,0.178716216216216,0.178716216216216,0.178716216216216,0.36722972972973,0.467567567567568,0.627027027027027,0.627027027027027,0.823648648648649,0.914391891891894,1
"share1b",253,117,TRUE,0.461538461538462,0.00854700854700855,0.0722222222222222,0.115384615384615,0.161538461538462,0.222222222222222,0.292735042735043,0.348717948717949,0.42008547008547,0.547008547008547,0.782905982905983,0.991452991452991
"share2b",162,96,TRUE,0.604166666666667,0.0104166666666667,0.119791666666667,0.208333333333333,0.317708333333333,0.371875,0.494791666666667,0.585416666666667,0.651041666666667,0.725,0.888541666666667,1
"shell",1777,536,TRUE,0.996268656716418,0.0904850746268657,0.0904850746268657,0.236007462686567,0.363805970149254,0.363805970149254,0.502798507462687,0.57089552238806,0.705223880597015,0.805970149253731,0.897388059701492,1
"ship04l",2166,402,TRUE,0.960199004975124,0.0534825870646766,0.0534825870646766,0.269900497512438,0.269900497512438,0.528606965174129,0.528606965174129,0.528606965174129,0.646766169154229,0.764925373134328,0.88681592039801,0.996268656716418
"ship04s",1506,402,TRUE,0.962686567164179,0.0534825870646766,0.0534825870646766,0.220149253731343,0.220149253731343,0.384328358208955,0.498756218905473,0.643034825870647,0.643034825870647,0.794776119402985,0.888308457711443,0.996268656716418
