"LPprob","n","m","spA","spB","spC","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"grow15",645,300,0.0290439276485788,0,0.0697674418604651,FALSE,1,0.435374149659864,0.435374149659864,0.435374149659864,0.435374149659864,0.435374149659864,0.435374149659864,0.435374149659864,0.435374149659864,0.435374149659864,0.89795918367347,1
"grow22",946,440,0.019825100903325,0,0.0697674418604651,FALSE,1,0.435540069686411,0.435540069686411,0.435540069686411,0.435540069686411,0.435540069686411,0.435540069686411,0.435540069686411,0.435540069686411,0.435540069686411,0.926829268292683,1
"grow7",301,140,0.061983863312767,0,0.0697674418604651,FALSE,1,0.436363636363636,0.436363636363636,0.436363636363636,0.436363636363636,0.436363636363636,0.436363636363636,0.436363636363636,0.436363636363636,0.436363636363636,0.898181818181818,1
"israel",316,174,0.0444311072311945,0.982758620689655,0.281645569620253,TRUE,0.189655172413793,0.206896551724138,0.236781609195402,0.291954022988506,0.324137931034483,0.411494252873563,0.482758620689655,0.547126436781609,0.572413793103448,0.624137931034483,0.674712643678161,1
"kb2",68,43,0.107045143638851,0,0.0735294117647059,FALSE,1,0.0232558139534884,0.12093023255814,0.218604651162791,0.337209302325581,0.630232558139535,0.697674418604651,0.697674418604651,0.697674418604651,0.697674418604651,0.697674418604651,1
"ken_07",3602,2426,0.000961726401884453,0.575845012366035,0.99305941143809,FALSE,0.424154987633965,0.000412201154163232,0.0456718878812861,0.0913437757625721,0.206265457543281,0.307749381698269,0.441879637262984,0.531079967023908,0.602473206924979,0.661500412201154,0.717312448474856,0.861912613355317
"lotfi",366,153,0.0202864388013858,0.320261437908497,0.0218579234972678,TRUE,0.607843137254902,0.04375,1,1,1,1,1,1,1,1,1,1
"maros_r7",9408,3136,0.00490952120644176,0.998724489795918,0.666666666666667,TRUE,0.864477040816326,1,1,1,1,1,1,1,1,1,1,1
"maros",1966,846,0.00609474542398072,0.049645390070922,0.199389623601221,FALSE,0.950354609929078,0.00118203309692671,0.0960992907801419,0.191489361702128,0.565602836879433,0.565602836879433,0.565602836879433,0.565602836879433,0.565602836879433,0.565602836879433,0.904846335697399,1
"modszk1",1620,687,0.00284651463690765,0.0203784570596798,0.611111111111111,TRUE,0.754002911208151,1,1,1,1,1,1,1,1,1,1,1
"osa_07",25067,1118,0.00516726086431833,0.96690518783542,0.955399529261579,TRUE,0.325581395348837,0.0035778175313059,0.17128801431127,0.17128801431127,0.17128801431127,0.344364937388193,0.514758497316637,0.759838998211091,0.759838998211091,0.759838998211091,0.759838998211091,0.759838998211091
"osa_14",54797,2337,0.00247614822386925,0.984167736414206,0.957351679836487,TRUE,0.339751818570817,0.00855798031664527,0.161745827984596,0.161745827984596,0.161745827984596,0.347454000855798,0.467479674796748,0.772999572100984,0.772999572100984,0.772999572100984,0.772999572100984,0.772999572100984
