"LPprob","n","m","spA","spB","spC","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"greenbea",5598,2392,0.00232031626201904,0,0.111111111111111,FALSE,1,0.000418060200668896,0.463210702341137,0.463210702341137,0.463210702341137,0.463210702341137,0.463210702341137,0.463210702341137,0.463210702341137,0.463210702341137,0.900041806020067,1
"greenbeb",5598,2392,0.00232031626201904,0,0.111111111111111,FALSE,1,0.000418060200668896,0.463210702341137,0.463210702341137,0.463210702341137,0.463210702341137,0.463210702341137,0.463210702341137,0.463210702341137,0.463210702341137,0.900041806020067,1
"grow15",645,300,0.0290439276485788,0,0.0697674418604651,FALSE,1,0.435374149659864,0.435374149659864,0.435374149659864,0.435374149659864,0.435374149659864,0.435374149659864,0.435374149659864,0.435374149659864,0.435374149659864,0.89795918367347,1
"grow22",946,440,0.019825100903325,0,0.0697674418604651,FALSE,1,0.435540069686411,0.435540069686411,0.435540069686411,0.435540069686411,0.435540069686411,0.435540069686411,0.435540069686411,0.435540069686411,0.435540069686411,0.926829268292683,1
"grow7",301,140,0.061983863312767,0,0.0697674418604651,FALSE,1,0.436363636363636,0.436363636363636,0.436363636363636,0.436363636363636,0.436363636363636,0.436363636363636,0.436363636363636,0.436363636363636,0.436363636363636,0.898181818181818,1
"israel",316,174,0.0444311072311945,0.982758620689655,0.281645569620253,TRUE,0.189655172413793,0.00574712643678161,0.239080459770115,0.266666666666667,0.319540229885057,0.374712643678161,0.431034482758621,0.479310344827586,0.510344827586207,0.612643678160919,0.631034482758621,0.701149425287356
"kb2",68,43,0.107045143638851,0,0.0735294117647059,FALSE,1,0.302325581395349,0.302325581395349,0.302325581395349,0.302325581395349,0.302325581395349,0.302325581395349,0.616279069767442,0.706976744186047,0.804651162790698,0.902325581395349,1
"ken_07",3602,2426,0.000961726401884453,0.575845012366035,0.99305941143809,FALSE,0.424154987633965,0.000412201154163232,0.0427864798021435,0.0851607584501237,0.127535037098104,0.169909315746084,0.212283594394064,0.254657873042045,0.872877164056059,0.91525144270404,0.95762572135202,1
"lotfi",366,153,0.0202864388013858,0.320261437908497,0.0218579234972678,TRUE,0.607843137254902,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,0.488372093023256,1
"maros_r7",9408,3136,0.00490952120644176,0.998724489795918,0.666666666666667,TRUE,0.864477040816326,1,1,1,1,1,1,1,1,1,1,1
